table,key,series,model,basis,file_price,file_source,estimate,margin_pct,list_inr,dealer_inr,lead_time_days,cavities,rubber_kg,rubber_cost,moulding,metal_kg,hardware,mould_cost,mould_amort,unit_cost,note
shock_absorbers,AC2540,AC,AC-25-40,file,5500,product_list:market,5140,0.0,5500,4400,21,,,,,,,,,,"stroke 40 mm, Fs 4062 N"
shock_absorbers,AC4225,AC,AC-42-25,file,6600,product_list:b2b,6600,0.0,6600,5300,21,,,,,,,,,,"stroke 25 mm, Fs 12500 N"
shock_absorbers,AC3050,AC,AC-30-50,file,5200,product_list:market,5432,0.0,5200,4200,21,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AC3350,AC,AC-33-50,file,5200,product_list:b2b,5678,0.0,5200,4200,21,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AC3650,AC,AC-36-50,file,6100,product_list:b2b,6005,0.0,6100,4900,21,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AC3750,AC,AC-37-50,file,6600,product_list:market,6402,0.0,6600,5300,21,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AC3775,AC,AC-37-75,file,6900,product_list:b2b,7193,0.0,6900,5550,21,,,,,,,,,,"stroke 75 mm, Fs 6333 N"
shock_absorbers,AC4250,AC,AC-42-50,file,7800,product_list:market,7967,0.0,7800,6250,21,,,,,,,,,,"stroke 50 mm, Fs 12500 N"
shock_absorbers,AC4275,AC,AC-42-75,file,9000,product_list:b2b,8894,0.0,9000,7200,21,,,,,,,,,,"stroke 75 mm, Fs 12500 N"
shock_absorbers,AC6450,AC,AC-64-50,model,,,13156,25.0,16500,13200,21,,,,,,,,,,"stroke 50 mm, Fs 30000 N"
shock_absorbers,AC64100,AC,AC-64-100,model,,,15556,25.0,19500,15600,21,,,,,,,,,,"stroke 100 mm, Fs 28750 N"
shock_absorbers,AC85125,AC,AC-85-125,model,,,22637,25.0,28300,22700,21,,,,,,,,,,"stroke 125 mm, Fs 55000 N"
shock_absorbers,AC85150,AC,AC-85-150,model,,,22711,25.0,28400,22800,21,,,,,,,,,,"stroke 150 mm, Fs 50000 N"
shock_absorbers,AC115150,AC,AC-115-150,model,,,30472,25.0,38100,30500,21,,,,,,,,,,"stroke 150 mm, Fs 91667 N"
shock_absorbers,AC115200,AC,AC-115-200,model,,,32765,25.0,41000,32800,21,,,,,,,,,,"stroke 200 mm, Fs 90625 N"
shock_absorbers,AC115250,AC,AC-115-250,model,,,35158,25.0,44000,35200,21,,,,,,,,,,"stroke 250 mm, Fs 92500 N"
shock_absorbers,ACX3325,ACX,ACX-33-25,model,,,4638,25.0,5800,4650,21,,,,,,,,,,"stroke 23 mm, Fs 9783 N"
shock_absorbers,ACX3625,ACX,ACX-36-25,model,,,4638,25.0,5800,4650,21,,,,,,,,,,"stroke 23 mm, Fs 9783 N"
shock_absorbers,ACX4525,ACX,ACX-45-25,model,,,6578,25.0,7800,6250,21,,,,,,,,,,"stroke 23 mm, Fs 20109 N · capped at the next larger priced model"
shock_absorbers,ACX4550,ACX,ACX-45-50,file,7800,product_list:market,7800,0.0,7800,6250,21,,,,,,,,,,"stroke 50 mm, Fs 18500 N"
shock_absorbers,ACX4575,ACX,ACX-45-75,model,,,8783,25.0,11000,8800,21,,,,,,,,,,"stroke 75 mm, Fs 18833 N"
shock_absorbers,ACX6450,ACX,ACX-64-50,model,,,12227,25.0,15300,12300,21,,,,,,,,,,"stroke 50 mm, Fs 46750 N"
shock_absorbers,ACX64100,ACX,ACX-64-100,model,,,14740,25.0,18500,14800,21,,,,,,,,,,"stroke 100 mm, Fs 46625 N"
shock_absorbers,ACX64150,ACX,ACX-64-150,model,,,16533,25.0,20700,16600,21,,,,,,,,,,"stroke 150 mm, Fs 47083 N"
shock_absorbers,AD1410,AD,AD 14-10,file,1300,product_list:b2b,1300,0.0,1300,1050,28,,,,,,,,,,"stroke 10 mm, Fs 625 N"
shock_absorbers,AD1613,AD,AD 16-13,file,2200,product_list:market,2200,0.0,2200,1800,28,,,,,,,,,,"stroke 13 mm, Fs 1635 N"
shock_absorbers,AD2020,AD,AD 20-20,file,3600,product_list:market,3368,0.0,3600,2900,28,,,,,,,,,,"stroke 20 mm, Fs 1562 N"
shock_absorbers,AD2220,AD,AD 22-20,file,2880,product_list:market,2880,0.0,2900,2350,28,,,,,,,,,,"stroke 20 mm, Fs 1562 N"
shock_absorbers,AD2050,AD,AD 20-50,model,,,4235,25.0,5300,4250,28,,,,,,,,,,"stroke 50 mm, Fs 1500 N"
shock_absorbers,AD2525,AD,AD 25-25,file,4560,product_list:b2b,4871,0.0,4600,3700,28,,,,,,,,,,"stroke 25 mm, Fs 4250 N"
shock_absorbers,AD2625,AD,AD 26-25,file,4920,product_list:b2b,4920,0.0,4950,4000,28,,,,,,,,,,"stroke 25 mm, Fs 4250 N"
shock_absorbers,AD3025,AD,AD 30-25,file,4800,product_list:b2b,4593,0.0,4800,3850,28,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AD3325,AD,AD 33-25,file,5280,product_list:market,4833,0.0,5300,4250,28,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AD3625,AD,AD 36-25,file,5040,product_list:market,5103,0.0,5050,4050,28,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AD3725,AD,AD 37-25,file,5400,product_list:market,5400,0.0,5400,4350,28,,,,,,,,,,"stroke 25 mm, Fs 6000 N"
shock_absorbers,AD2540,AD,AD 25-40,file,5760,product_list:b2b,5414,0.0,5800,4650,28,,,,,,,,,,"stroke 40 mm, Fs 4062 N"
shock_absorbers,AD3050,AD,AD 30-50,file,5400,product_list:b2b,5655,0.0,5400,4350,28,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AD3350,AD,AD 33-50,file,5400,product_list:b2b,5950,0.0,5400,4350,28,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AD3650,AD,AD 36-50,file,6360,product_list:market,6283,0.0,6400,5150,28,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AD3750,AD,AD 37-50,file,6960,product_list:market,6648,0.0,7000,5600,28,,,,,,,,,,"stroke 50 mm, Fs 6250 N"
shock_absorbers,AD4225,AD,AD 42-25,model,,,7701,25.0,9650,7750,28,,,,,,,,,,"stroke 25 mm, Fs 12500 N"
shock_absorbers,AD3775,AD,AD 37-75,file,7200,product_list:market,7470,0.0,7200,5800,28,,,,,,,,,,"stroke 75 mm, Fs 6333 N"
shock_absorbers,AD4250,AD,AD 42-50,model,,,9296,25.0,11700,9400,28,,,,,,,,,,"stroke 50 mm, Fs 12500 N"
shock_absorbers,AD4275,AD,AD 42-75,model,,,10378,25.0,13000,10400,28,,,,,,,,,,"stroke 75 mm, Fs 12500 N"
shock_absorbers,AD6450,AD,AD 64-50,model,,,14212,25.0,17800,14300,28,,,,,,,,,,"stroke 50 mm, Fs 30000 N"
shock_absorbers,AD64100,AD,AD 64-100,model,,,16805,25.0,21100,16900,28,,,,,,,,,,"stroke 100 mm, Fs 28750 N"
shock_absorbers,AD85125,AD,AD 85-125,file,40000,product_list:market,40000,0.0,40000,32000,28,,,,,,,,,,"stroke 125 mm, Fs 55000 N"
shock_absorbers,AD85150,AD,AD 85-150,model,,,40131,25.0,50200,40200,28,,,,,,,,,,"stroke 150 mm, Fs 50000 N"
shock_absorbers,AD115150,AD,AD 115-150,model,,,32918,25.0,41200,33000,28,,,,,,,,,,"stroke 150 mm, Fs 91667 N"
shock_absorbers,AD115200,AD,AD 115-200,model,,,35395,25.0,44300,35500,28,,,,,,,,,,"stroke 200 mm, Fs 90625 N"
shock_absorbers,AD115250,AD,AD 115-250,model,,,37981,25.0,47500,38000,28,,,,,,,,,,"stroke 250 mm, Fs 92500 N"
shock_absorbers,AKHG6525,AKHG,AKHG 65-25,file,18000,akhg_pricelist,15086,0.0,18000,14400,42,,,,,,,,,,"stroke 25 mm, Fs 100000 N"
shock_absorbers,AKHG6550,AKHG,AKHG 65-50,file,18900,akhg_pricelist,17799,0.0,18900,15200,42,,,,,,,,,,"stroke 50 mm, Fs 100000 N"
shock_absorbers,AKHG6575,AKHG,AKHG 65-75,file,19800,akhg_pricelist,19607,0.0,19800,15900,42,,,,,,,,,,"stroke 75 mm, Fs 100000 N"
shock_absorbers,AKHG65100,AKHG,AKHG 65-100,file,21000,akhg_pricelist,21000,0.0,21000,16800,42,,,,,,,,,,"stroke 100 mm, Fs 100000 N"
shock_absorbers,AKHG8550,AKHG,AKHG 85-50,model,,,20689,25.0,25900,20800,42,,,,,,,,,,"stroke 50 mm, Fs 200000 N"
shock_absorbers,AKHG65125,AKHG,AKHG 65-125,file,22000,akhg_pricelist,22148,0.0,22000,17600,42,,,,,,,,,,"stroke 125 mm, Fs 100000 N"
shock_absorbers,AKHG10050,AKHG,AKHG 100-50,file,37700,hydraulic_pricelist,30915,0.0,37700,30200,42,,,,,,,,,,"stroke 50 mm, Fs 275000 N"
shock_absorbers,AKHG65150,AKHG,AKHG 65-150,file,23100,hydraulic_pricelist,23133,0.0,23100,18500,42,,,,,,,,,,"stroke 150 mm, Fs 100000 N"
shock_absorbers,AKHG65200,AKHG,AKHG 65-200,file,24400,hydraulic_pricelist,24777,0.0,24400,19600,42,,,,,,,,,,"stroke 200 mm, Fs 100000 N"
shock_absorbers,AKHG85100,AKHG,AKHG 85-100,file,29000,product_list:b2b,24410,0.0,29000,23200,42,,,,,,,,,,"stroke 100 mm, Fs 200000 N"
shock_absorbers,AKHG10080,AKHG,AKHG 100-80,file,38600,product_list:b2b,34991,0.0,38600,30900,42,,,,,,,,,,"stroke 80 mm, Fs 281250 N"
shock_absorbers,AKHG100100,AKHG,AKHG 100-100,file,38700,akhg_pricelist,37330,0.0,38700,31000,42,,,,,,,,,,"stroke 100 mm, Fs 287500 N"
shock_absorbers,AKHG85150,AKHG,AKHG 85-150,model,,,26890,25.0,30400,24400,42,,,,,,,,,,"stroke 150 mm, Fs 200000 N · capped at the next larger priced model"
shock_absorbers,AKHG100120,AKHG,AKHG 100-120,file,39500,product_list:market,38546,0.0,39500,31600,42,,,,,,,,,,"stroke 120 mm, Fs 281250 N"
shock_absorbers,AKHG85200,AKHG,AKHG 85-200,file,30400,product_list:market,28800,0.0,30400,24400,42,,,,,,,,,,"stroke 200 mm, Fs 200000 N"
shock_absorbers,AKHG100150,AKHG,AKHG 100-150,file,39800,hydraulic_pricelist,40810,0.0,39800,31900,42,,,,,,,,,,"stroke 150 mm, Fs 283333 N"
shock_absorbers,AKHG85250,AKHG,AKHG 85-250,file,30400,product_list:b2b,30375,0.0,30400,24400,42,,,,,,,,,,"stroke 250 mm, Fs 200000 N"
shock_absorbers,AKHG120100,AKHG,AKHG 120-100,file,48200,hydraulic_pricelist,47017,0.0,48200,38600,42,,,,,,,,,,"stroke 100 mm, Fs 562500 N"
shock_absorbers,AKHG100200,AKHG,AKHG 100-200,file,48000,product_list:market,44044,0.0,48000,38400,42,,,,,,,,,,"stroke 200 mm, Fs 287500 N"
shock_absorbers,AKHG100250,AKHG,AKHG 100-250,file,42500,product_list:b2b,46663,0.0,42500,34000,42,,,,,,,,,,"stroke 250 mm, Fs 290000 N"
shock_absorbers,AKHG140100,AKHG,AKHG 140-100,file,58900,akhg_pricelist,58900,0.0,58900,47200,42,,,,,,,,,,"stroke 100 mm, Fs 775000 N"
shock_absorbers,AKHG100300,AKHG,AKHG 100-300,file,43800,hydraulic_pricelist,48518,0.0,43800,35100,42,,,,,,,,,,"stroke 300 mm, Fs 287500 N"
shock_absorbers,AKHG120150,AKHG,AKHG 120-150,model,,,52785,25.0,54200,43400,42,,,,,,,,,,"stroke 150 mm, Fs 583333 N · capped at the next larger priced model"
shock_absorbers,AKHG150100,AKHG,AKHG 150-100,model,,,60795,25.0,76000,60800,42,,,,,,,,,,"stroke 100 mm, Fs 875000 N"
shock_absorbers,AKHG180100,AKHG,AKHG 180-100,model,,,68832,25.0,86100,68900,42,,,,,,,,,,"stroke 100 mm, Fs 1e+06 N"
shock_absorbers,AKHG100400,AKHG,AKHG 100-400,file,47300,product_list:market,51374,0.0,47300,37900,42,,,,,,,,,,"stroke 400 mm, Fs 281250 N"
shock_absorbers,AKHG140150,AKHG,AKHG 140-150,file,61200,product_list:b2b,64152,0.0,61200,49000,42,,,,,,,,,,"stroke 150 mm, Fs 758333 N"
shock_absorbers,AKHG120200,AKHG,AKHG 120-200,file,54200,product_list:market,56113,0.0,54200,43400,42,,,,,,,,,,"stroke 200 mm, Fs 575000 N"
shock_absorbers,AKHG100500,AKHG,AKHG 100-500,file,50000,product_list:b2b,53552,0.0,50000,40000,42,,,,,,,,,,"stroke 500 mm, Fs 275000 N"
shock_absorbers,AKHG120250,AKHG,AKHG 120-250,model,,,58913,25.0,54300,43500,42,,,,,,,,,,"stroke 250 mm, Fs 570000 N · capped at the next larger priced model"
shock_absorbers,AKHG130250,AKHG,AKHG 130-250,model,,,69090,25.0,67200,53800,42,,,,,,,,,,"stroke 250 mm, Fs 600000 N · capped at the next larger priced model"
shock_absorbers,AKHG140200,AKHG,AKHG 140-200,file,65800,akhg_pricelist,69494,0.0,65800,52700,42,,,,,,,,,,"stroke 200 mm, Fs 775000 N"
shock_absorbers,AKHG100600,AKHG,AKHG 100-600,file,52400,hydraulic_pricelist,54366,0.0,52400,42000,42,,,,,,,,,,"stroke 600 mm, Fs 260417 N"
shock_absorbers,AKHG120300,AKHG,AKHG 120-300,file,54300,akhg_pricelist,59918,0.0,54300,43500,42,,,,,,,,,,"stroke 300 mm, Fs 541667 N"
shock_absorbers,AKHG150200,AKHG,AKHG 150-200,model,,,70653,25.0,78600,62900,42,,,,,,,,,,"stroke 200 mm, Fs 850000 N · capped at the next larger priced model"
shock_absorbers,AKHG100800,AKHG,AKHG 100-800,file,57300,product_list:market,53167,0.0,57300,45900,42,,,,,,,,,,"stroke 800 mm, Fs 218750 N"
shock_absorbers,AKHG130300,AKHG,AKHG 130-300,file,67200,akhg_pricelist,71110,0.0,67200,53800,42,,,,,,,,,,"stroke 300 mm, Fs 583333 N"
shock_absorbers,AKHG120400,AKHG,AKHG 120-400,file,56700,product_list:b2b,61551,0.0,56700,45400,42,,,,,,,,,,"stroke 400 mm, Fs 500000 N"
shock_absorbers,AKHG180200,AKHG,AKHG 180-200,model,,,81211,25.0,101600,81300,42,,,,,,,,,,"stroke 200 mm, Fs 1e+06 N"
shock_absorbers,AKHG140300,AKHG,AKHG 140-300,file,72100,akhg_pricelist,74157,0.0,72100,57700,42,,,,,,,,,,"stroke 300 mm, Fs 729167 N"
shock_absorbers,AKHG120500,AKHG,AKHG 120-500,file,59900,akhg_pricelist,61446,0.0,59900,48000,42,,,,,,,,,,"stroke 500 mm, Fs 450000 N"
shock_absorbers,AKHG130400,AKHG,AKHG 130-400,file,73000,hydraulic_pricelist,74732,0.0,73000,58400,42,,,,,,,,,,"stroke 400 mm, Fs 562500 N"
shock_absorbers,AKHG150300,AKHG,AKHG 150-300,model,,,73543,25.0,78600,62900,42,,,,,,,,,,"stroke 300 mm, Fs 762500 N · capped at the next larger priced model"
shock_absorbers,AKHG120600,AKHG,AKHG 120-600,file,63800,product_list:b2b,61653,0.0,63800,51100,42,,,,,,,,,,"stroke 600 mm, Fs 416667 N"
shock_absorbers,AKHG180250,AKHG,AKHG 180-250,model,,,85653,25.0,107100,85700,42,,,,,,,,,,"stroke 250 mm, Fs 1e+06 N"
shock_absorbers,AKHG130500,AKHG,AKHG 130-500,file,77900,akhg_pricelist,77900,0.0,77900,62400,42,,,,,,,,,,"stroke 500 mm, Fs 550000 N"
shock_absorbers,AKHG140400,AKHG,AKHG 140-400,file,78600,akhg_pricelist,79545,0.0,78600,62900,42,,,,,,,,,,"stroke 400 mm, Fs 731250 N"
shock_absorbers,AKHG120800,AKHG,AKHG 120-800,file,69400,product_list:market,62503,0.0,69400,55600,42,,,,,,,,,,"stroke 800 mm, Fs 375000 N"
shock_absorbers,AKHG150400,AKHG,AKHG 150-400,file,78600,product_list:b2b,78600,0.0,78600,62900,42,,,,,,,,,,"stroke 400 mm, Fs 759375 N"
shock_absorbers,AKHG130600,AKHG,AKHG 130-600,file,81200,product_list:b2b,80718,0.0,81200,65000,42,,,,,,,,,,"stroke 600 mm, Fs 541667 N"
shock_absorbers,AKHG140500,AKHG,AKHG 140-500,file,84200,product_list:market,80464,0.0,84200,67400,42,,,,,,,,,,"stroke 500 mm, Fs 675000 N"
shock_absorbers,AKHG1201000,AKHG,AKHG 120-1000,file,75300,hydraulic_pricelist,63591,0.0,75300,60300,42,,,,,,,,,,"stroke 1000 mm, Fs 350000 N"
shock_absorbers,AKHG180400,AKHG,AKHG 180-400,model,,,89371,25.0,111800,89500,42,,,,,,,,,,"stroke 400 mm, Fs 875000 N"
shock_absorbers,AKHG150500,AKHG,AKHG 150-500,model,,,80189,25.0,100300,80300,42,,,,,,,,,,"stroke 500 mm, Fs 712500 N"
shock_absorbers,AKHG130800,AKHG,AKHG 130-800,file,95300,akhg_pricelist,80174,0.0,95300,76300,42,,,,,,,,,,"stroke 800 mm, Fs 468750 N"
shock_absorbers,AKHG140600,AKHG,AKHG 140-600,file,90000,hydraulic_pricelist,80735,0.0,90000,72000,42,,,,,,,,,,"stroke 600 mm, Fs 625000 N"
shock_absorbers,AKHG150600,AKHG,AKHG 150-600,model,,,81294,25.0,101700,81400,42,,,,,,,,,,"stroke 600 mm, Fs 672917 N"
shock_absorbers,AKHG140800,AKHG,AKHG 140-800,file,97800,hydraulic_pricelist,77596,0.0,97800,78300,42,,,,,,,,,,"stroke 800 mm, Fs 507812 N"
shock_absorbers,AKHG180500,AKHG,AKHG 180-500,model,,,94259,25.0,117900,94400,42,,,,,,,,,,"stroke 500 mm, Fs 875000 N"
shock_absorbers,AKHG1401000,AKHG,AKHG 140-1000,file,109100,akhg_pricelist,76840,0.0,109100,87300,42,,,,,,,,,,"stroke 1000 mm, Fs 450000 N"
shock_absorbers,AKHG150800,AKHG,AKHG 150-800,model,,,80100,25.0,101700,81400,42,,,,,,,,,,"stroke 800 mm, Fs 573438 N · raised to keep price rising with stroke"
shock_absorbers,AKHG1501000,AKHG,AKHG 150-1000,model,,,79673,25.0,101700,81400,42,,,,,,,,,,"stroke 1000 mm, Fs 512500 N · raised to keep price rising with stroke"
shock_absorbers,AKHG180600,AKHG,AKHG 180-600,model,,,99666,25.0,124600,99700,42,,,,,,,,,,"stroke 600 mm, Fs 895833 N"
shock_absorbers,AKHG180800,AKHG,AKHG 180-800,model,,,106423,25.0,133100,106500,42,,,,,,,,,,"stroke 800 mm, Fs 890625 N"
shock_absorbers,AKHG1801000,AKHG,AKHG 180-1000,model,,,112858,25.0,141100,112900,42,,,,,,,,,,"stroke 1000 mm, Fs 900000 N"
shock_absorbers,AKHS13070,AKHS,AKHS 130-70,file,28500,product_list:b2b,28500,0.0,28500,22800,42,,,,,,,,,,"stroke 70 mm, Fs 214286 N"
shock_absorbers,AKHS130100,AKHS,AKHS 130-100,model,,,29935,25.0,37500,30000,42,,,,,,,,,,"stroke 100 mm, Fs 200000 N"
shock_absorbers,AKHS130150,AKHS,AKHS 130-150,model,,,31513,25.0,39400,31600,42,,,,,,,,,,"stroke 150 mm, Fs 183333 N"
shock_absorbers,AKHS16080,AKHS,AKHS 160-80,model,,,42694,25.0,53400,42800,42,,,,,,,,,,"stroke 80 mm, Fs 437500 N"
shock_absorbers,AKHS190100,AKHS,AKHS 190-100,model,,,49521,25.0,62000,49600,42,,,,,,,,,,"stroke 100 mm, Fs 525000 N"
shock_absorbers,AKHS160150,AKHS,AKHS 160-150,model,,,45237,25.0,56600,45300,42,,,,,,,,,,"stroke 150 mm, Fs 366667 N"
shock_absorbers,AKHS190150,AKHS,AKHS 190-150,model,,,55448,25.0,69400,55600,42,,,,,,,,,,"stroke 150 mm, Fs 541667 N"
shock_absorbers,ED1.5X2,ED,ED 1.5 x 2,model,,,15625,25.0,19600,15700,42,,,,,,,,,,"stroke 50 mm, Fs 80000 N"
shock_absorbers,ED1.5X4,ED,ED 1.5 x 4,model,,,17980,25.0,22500,18000,42,,,,,,,,,,"stroke 100 mm, Fs 76250 N"
shock_absorbers,ED1.5X6,ED,ED 1.5 x 6,model,,,19750,25.0,24700,19800,42,,,,,,,,,,"stroke 150 mm, Fs 75833 N"
shock_absorbers,ED3.0X2,ED,ED 3.0 x 2,model,,,27713,25.0,34700,27800,42,,,,,,,,,,"stroke 50 mm, Fs 240000 N"
shock_absorbers,ED1.5X8,ED,ED 1.5 x 8,model,,,21214,25.0,26600,21300,42,,,,,,,,,,"stroke 200 mm, Fs 76250 N"
shock_absorbers,ED3.5X2,ED,ED 3.5 x 2,model,,,32461,25.0,40600,32500,42,,,,,,,,,,"stroke 50 mm, Fs 325000 N"
shock_absorbers,ED3.0X3,ED,ED 3.0 x 3,model,,,30749,25.0,38500,30800,42,,,,,,,,,,"stroke 75 mm, Fs 243333 N"
shock_absorbers,ED1.5X10,ED,ED 1.5 x 10,model,,,22335,25.0,28000,22400,42,,,,,,,,,,"stroke 250 mm, Fs 76000 N"
shock_absorbers,ED4.0X2,ED,ED 4.0 x 2,model,,,35819,25.0,44800,35900,42,,,,,,,,,,"stroke 50 mm, Fs 392500 N"
shock_absorbers,ED2.0X6,ED,ED 2.0 x 6,model,,,27425,25.0,34300,27500,42,,,,,,,,,,"stroke 152 mm, Fs 141447 N"
shock_absorbers,ED1.5X12,ED,ED 1.5 x 12,model,,,23369,25.0,29300,23500,42,,,,,,,,,,"stroke 300 mm, Fs 76250 N"
shock_absorbers,ED1.5X14,ED,ED 1.5 x 14,model,,,23976,25.0,30000,24000,42,,,,,,,,,,"stroke 350 mm, Fs 74643 N"
shock_absorbers,ED2.0X8,ED,ED 2.0 x 8,model,,,29404,25.0,36800,29500,42,,,,,,,,,,"stroke 203 mm, Fs 141626 N"
shock_absorbers,ED1.5X16,ED,ED 1.5 x 16,model,,,24434,25.0,30600,24500,42,,,,,,,,,,"stroke 400 mm, Fs 72812 N"
shock_absorbers,ED3.0X5,ED,ED 3.0 x 5,model,,,34635,25.0,43300,34700,42,,,,,,,,,,"stroke 125 mm, Fs 242000 N"
shock_absorbers,ED1.5X18,ED,ED 1.5 x 18,model,,,24670,25.0,30900,24800,42,,,,,,,,,,"stroke 450 mm, Fs 70278 N"
shock_absorbers,ED3.5X4,ED,ED 3.5 x 4,model,,,38300,25.0,47900,38400,42,,,,,,,,,,"stroke 100 mm, Fs 325000 N"
shock_absorbers,ED1.5X20,ED,ED 1.5 x 20,model,,,24867,25.0,31100,24900,42,,,,,,,,,,"stroke 500 mm, Fs 68000 N"
shock_absorbers,ED2.0X10,ED,ED 2.0 x 10,model,,,31172,25.0,39000,31200,42,,,,,,,,,,"stroke 250 mm, Fs 144000 N"
shock_absorbers,ED1.5X24,ED,ED 1.5 x 24,model,,,25070,25.0,31400,25200,42,,,,,,,,,,"stroke 600 mm, Fs 63542 N"
shock_absorbers,ED4.0X4,ED,ED 4.0 x 4,model,,,42121,25.0,52700,42200,42,,,,,,,,,,"stroke 100 mm, Fs 390000 N"
shock_absorbers,ED1.5X28,ED,ED 1.5 x 28,model,,,25112,25.0,31400,25200,42,,,,,,,,,,"stroke 713 mm, Fs 58906 N"
shock_absorbers,ED2.0X12,ED,ED 2.0 x 12,model,,,32430,25.0,40600,32500,42,,,,,,,,,,"stroke 300 mm, Fs 142917 N"
shock_absorbers,ED3.0X8,ED,ED 3.0 x 8,model,,,37139,25.0,46500,37200,42,,,,,,,,,,"stroke 200 mm, Fs 223125 N"
shock_absorbers,ED1.5X32,ED,ED 1.5 x 32,model,,,25264,25.0,31600,25300,42,,,,,,,,,,"stroke 813 mm, Fs 56119 N"
shock_absorbers,ED2.0X14,ED,ED 2.0 x 14,model,,,33063,25.0,41400,33200,42,,,,,,,,,,"stroke 350 mm, Fs 138214 N"
shock_absorbers,ED3.5X6,ED,ED 3.5 x 6,model,,,42077,25.0,52600,42100,42,,,,,,,,,,"stroke 150 mm, Fs 323333 N"
shock_absorbers,ED2.0X16,ED,ED 2.0 x 16,model,,,33717,25.0,42200,33800,42,,,,,,,,,,"stroke 400 mm, Fs 135000 N"
shock_absorbers,ED3.0X10,ED,ED 3.0 x 10,model,,,38513,25.0,48200,38600,42,,,,,,,,,,"stroke 250 mm, Fs 216000 N"
shock_absorbers,ED4.0X6,ED,ED 4.0 x 6,model,,,46129,25.0,57700,46200,42,,,,,,,,,,"stroke 150 mm, Fs 385658 N"
shock_absorbers,ED2.0X18,ED,ED 2.0 x 18,model,,,34304,25.0,42900,34400,42,,,,,,,,,,"stroke 450 mm, Fs 132222 N"
shock_absorbers,ED3.0X12,ED,ED 3.0 x 12,model,,,39761,25.0,49800,39900,42,,,,,,,,,,"stroke 300 mm, Fs 211250 N"
shock_absorbers,ED3.5X8,ED,ED 3.5 x 8,model,,,44687,25.0,55900,44800,42,,,,,,,,,,"stroke 200 mm, Fs 318125 N"
