source,family,model,stroke_mm,energy_per_cycle_nm,energy_per_hour_nm,eff_mass_min_kg,eff_mass_max_kg,max_force_n,max_velocity_m_s,thread,body_dia_mm,length_mm,weight_kg,damping_type,temp_min_c,temp_max_c,notes,min_velocity_m_s,max_propelling_force_n,spring_force_extended_n,spring_force_compressed_n,max_body_dia_mm,catalogue_page
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,LROEM 1.0M (B),25.0,74.0,70000,,,4400,1.3,M27 x 3.0,27.0,130.0,0.285,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=130.0 mm to rod end without button; A1=142.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 285 g. low range; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,2016,13.0,27.0,22.0,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore (Platinum) 0.1M-1.0M,LROEM 1.0MF (B),25.0,74.0,70000,,,4400,1.3,M25 x 1.5,25.0,130.0,0.285,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=130.0 mm to rod end without button; A1=142.7 mm incl. button. body_dia = thread OD; max_body_dia = knob dia G. mass 285 g. low range fine thread; button model only (B). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,2016,13.0,27.0,22.0,21
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,OEM 1.15M x 1,25.0,195.0,75700,,,11120,3.3,M33 x 1.5,33.0,150.0,0.482,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=150.0 mm; A1=155.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 482 g. non-standard lead time (delta). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2220,56.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,LROEM 1.15M x 1,25.0,195.0,75700,,,11120,2.0,M33 x 1.5,33.0,150.0,0.482,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=150.0 mm; A1=155.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 482 g. low range; non-standard lead time (delta). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,3335,56.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,OEM 1.15M x 2,50.0,385.0,98962,,,11120,3.3,M33 x 1.5,33.0,217.0,0.708,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=217.0 mm; A1=222.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 708 g. non-standard lead time (delta). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2220,31.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,LROEM 1.15M x 2,50.0,385.0,98962,,,11120,2.0,M33 x 1.5,33.0,217.0,0.708,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,"length A=217.0 mm; A1=222.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 708 g. low range; min velocity printed as 0,8 m/s (probably 0,08 typo, cf. x1); non-standard lead time. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.",0.8,3335,31.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,OEM 1.25M x 1,25.0,195.0,91000,,,11120,3.3,M36 x 1.5,36.0,150.0,0.567,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=150.0 mm; A1=155.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 567 g. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2220,56.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,LROEM 1.25M x 1,25.0,195.0,91000,,,11120,2.0,M36 x 1.5,36.0,150.0,0.567,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,"length A=150.0 mm; A1=155.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 567 g. low range; min velocity printed as 0,8 m/s (probably 0,08 typo). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.",0.8,3335,56.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,OEM 1.25M x 2,50.0,385.0,111400,,,11120,3.3,M36 x 1.5,36.0,217.0,0.737,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=217.0 mm; A1=222.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 737 g. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2220,31.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Small Bore 1.15M-1.25M,LROEM 1.25M x 2,50.0,385.0,111400,,,11120,2.0,M36 x 1.5,36.0,217.0,0.737,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,"length A=217.0 mm; A1=222.5 mm with urethane striker cap. body_dia = thread OD; max_body_dia E=29 mm. mass 737 g. low range; min velocity printed as 0,8 m/s (probably 0,08 typo). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.",0.8,3335,31.0,89.0,29.0,24
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 3/4 x 1,25.0,425,126000,,,20000,3.5,1 3/4-12 UN,44.45,144,1.2,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 1.5M (same performance); length A=144 mm; A1=162 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,48,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,LROEMXT 3/4 x 1,25.0,425,126000,,,20000,1.3,1 3/4-12 UN,44.45,144,1.2,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; imperial-thread version of OEMXT 1.5M (same performance); length A=144 mm; A1=162 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,6660,48,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 3/4 x 2,50.0,850,167000,,,20000,3.5,1 3/4-12 UN,44.45,195,1.7,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 1.5M (same performance); length A=195 mm; A1=213 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,29,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,LROEMXT 3/4 x 2,50.0,850,167000,,,20000,1.3,1 3/4-12 UN,44.45,195,1.7,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; imperial-thread version of OEMXT 1.5M (same performance); length A=195 mm; A1=213 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,6660,48,85,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 3/4 x 3,75.0,1300,201000,,,20000,3.5,1 3/4-12 UN,44.45,246,2.1,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 1.5M (same performance); length A=246 mm; A1=264 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,29,85,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 1.5M x 1,25.0,425,126000,,,20000,3.5,M42 x 1.5,42.0,144,1.2,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=144 mm; A1=162 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,48,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,LROEMXT 1.5M x 1,25.0,425,126000,,,20000,1.3,M42 x 1.5,42.0,144,1.2,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; length A=144 mm; A1=162 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,6660,48,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 1.5M x 2,50.0,850,167000,,,20000,3.5,M42 x 1.5,42.0,195,1.7,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=195 mm; A1=213 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,29,68,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,LROEMXT 1.5M x 2,50.0,850,167000,,,20000,1.3,M42 x 1.5,42.0,195,1.7,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; length A=195 mm; A1=213 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,6660,48,85,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 3/4 / 1.5M,OEMXT 1.5M x 3,75.0,1300,201000,,,20000,3.5,M42 x 1.5,42.0,246,2.1,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=246 mm; A1=264 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=58 mm (knob). Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,2890,29,85,58.0,27
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,LROEMXT 1 1/8 x 1,25.0,1130,226000,,,51000,1.35,2 1/2-12 UN,63.5,175,2.1,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; imperial-thread version of OEMXT 2.0M (same performance); length A=175 mm; A1=192 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. non-standard lead time (delta). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,17760,115,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 1 1/8 x 2,50.0,2260,271000,,,51000,3.5,2 1/2-12 UN,63.5,226,3.6,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 2.0M (same performance); length A=226 mm; A1=243 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,75,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,LROEMXT 1 1/8 x 2,50.0,2260,271000,,,51000,1.35,2 1/2-12 UN,63.5,226,3.6,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; imperial-thread version of OEMXT 2.0M (same performance); length A=226 mm; A1=243 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,17760,75,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 1 1/8 x 4,100.0,4520,362000,,,51000,3.5,2 1/2-12 UN,63.5,328,4.9,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 2.0M (same performance); length A=328 mm; A1=345 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,70,160,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 1 1/8 x 6,150.0,6780,421000,,,51000,3.5,2 1/2-12 UN,63.5,456,6.4,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,imperial-thread version of OEMXT 2.0M (same performance); length A=456 mm; A1=473 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,90,284,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,LROEMXT 2.0M x 1,25.0,1130,226000,,,51000,1.35,M64 x 2.0,64.0,175,2.1,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; length A=175 mm; A1=192 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. non-standard lead time (delta). standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,17760,115,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 2.0M x 2,50.0,2260,271000,,,51000,3.5,M64 x 2.0,64.0,226,3.6,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=226 mm; A1=243 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,75,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,LROEMXT 2.0M x 2,50.0,2260,271000,,,51000,1.35,M64 x 2.0,64.0,226,3.6,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,low range; length A=226 mm; A1=243 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.08,17760,75,155,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 2.0M x 4,100.0,4520,362000,,,51000,3.5,M64 x 2.0,64.0,328,4.9,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=328 mm; A1=345 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,70,160,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEMXT Mid-Bore 1-1/8 / 2.0M,OEMXT 2.0M x 6,150.0,6780,421000,,,51000,3.5,M64 x 2.0,64.0,456,6.4,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=456 mm; A1=473 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=77 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,6660,90,284,77.0,29
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Large-Bore 3.0M-4.0M,OEM 3.0M x 2,50,2300,372000,,,67000,4.3,M85 x 2.0,85.0,245,7.0,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=245 mm; A1=265 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=98 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,12000,110,200,98,31
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Large-Bore 3.0M-4.0M,OEM 3.0M x 3.5,90,4000,652000,,,67000,4.3,M85 x 2.0,85.0,323,9.1,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=323 mm; A1=343 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=98 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,12000,110,200,98,31
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Large-Bore 3.0M-4.0M,OEM 3.0M x 5,125,5700,933000,,,67000,4.3,M85 x 2.0,85.0,399,10.9,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=399 mm; A1=419 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=98 mm. Fully field repairable. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,12000,71,200,98,31
"Enidine Adjustable Series Hydraulic Shock Absorbers (A4 metric catalogue, 2008), pp.17-34",OEM Large-Bore 3.0M-4.0M,OEM 3.0M x 6.5,165,7300,1215000,,,67000,4.3,M85 x 2.0,85.0,494,13.6,adjustable hydraulic (knob 0-8); LR = low-range velocity version,-10,80,length A=494 mm; A1=514 mm with urethane striker cap. body_dia = thread OD; max_body_dia B=98 mm. Fully field repairable. rear flange mounting not recommended when horizontal. standard fluid/seals -10..80 C; optional fluids/seals extend to -30..100 C. Energy/hr and 5%-of-rated-energy minimum per catalogue note.,0.3,12000,120,330,98,31
