source,family,model,type,wire_dia_mm,loop_count,length_mm,width_mm,height_mm,mount_hole_dia_mm,weight_kg,static_load_min_n,static_load_max_n,vertical_stiffness_n_mm,shear_stiffness_n_mm,roll_stiffness_n_mm,shock_load_max_n,max_deflection_mm,natural_freq_hz,notes
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW40-80-10,wire rope helical,4,10,127,53,46,6.9,0.17,,280,109,30,62,,24.9,,cat p.16-17; Ks_comp=48; 45deg comp/roll: Fmax=196 N dmax=35.6 mm Kv=62 Ks=23; shear/roll: Fmax=144 N dmax=25.9 mm Kv=30 Ks=23; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW40-90-10,wire rope helical,4,10,127,64,53,6.9,0.18,,224,75,10.3,40,,32,,cat p.16-17; Ks_comp=30; 45deg comp/roll: Fmax=150 N dmax=44.7 mm Kv=40 Ks=14; shear/roll: Fmax=52 N dmax=33.5 mm Kv=10.3 Ks=7.9; bar 14.3x7.9 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-20-10,wire rope helical,4.8,10,127,36,30,6.9,0.19,,954,751,291,443,,8.6,,cat p.18-19; Ks_comp=472; 45deg comp/roll: Fmax=694 N dmax=12.7 mm Kv=443 Ks=233; shear/roll: Fmax=463 N dmax=8.6 mm Kv=291 Ks=246; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-30-10,wire rope helical,4.8,10,127,38,33,6.9,0.2,,926,592,593,335,,11.7,,cat p.18-19; Ks_comp=328; 45deg comp/roll: Fmax=666 N dmax=16.8 mm Kv=335 Ks=164; shear/roll: Fmax=463 N dmax=11.7 mm Kv=593 Ks=172; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-40-10,wire rope helical,4.8,10,127,41,36,6.9,0.21,,781,451,146,256,,13.7,,cat p.18-19; Ks_comp=246; 45deg comp/roll: Fmax=562 N dmax=19.8 mm Kv=256 Ks=121; shear/roll: Fmax=434 N dmax=14.7 mm Kv=146 Ks=123; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-50-10,wire rope helical,4.8,10,127,1.2,38,6.9,43,,751,391,121,224,,15.7,,cat p.18-19; Ks_comp=198; 45deg comp/roll: Fmax=532 N dmax=22.9 mm Kv=224 Ks=98; shear/roll: Fmax=404 N dmax=16.8 mm Kv=121 Ks=102; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-60-10,wire rope helical,4.8,10,127,46,41,6.9,0.22,,666,317,91,183,,18.8,,cat p.18-19; Ks_comp=152; 45deg comp/roll: Fmax=485 N dmax=26.9 mm Kv=183 Ks=75; shear/roll: Fmax=376 N dmax=19.8 mm Kv=91 Ks=77; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-70-10,wire rope helical,4.8,10,127,48,43,6.9,0.25,,636,276,78,160,,20.8,,cat p.18-19; Ks_comp=125; 45deg comp/roll: Fmax=455 N dmax=29 mm Kv=160 Ks=64; shear/roll: Fmax=347 N dmax=21.8 mm Kv=78 Ks=66; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-80-10,wire rope helical,4.8,10,127,58,51,6.9,0.26,,475,177,46,100,,26.9,,cat p.18-19; Ks_comp=75; 45deg comp/roll: Fmax=338 N dmax=38.1 mm Kv=100 Ks=36; shear/roll: Fmax=260 N dmax=27.9 mm Kv=46 Ks=38; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-85-10,wire rope helical,4.8,10,127,75,54,6.9,0.27,,307,107,14.3,64,,29.5,,cat p.18-19; Ks_comp=43; 45deg comp/roll: Fmax=230 N dmax=41.7 mm Kv=64 Ks=23; shear/roll: Fmax=75 N dmax=31 mm Kv=14.3 Ks=12; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-90-10,wire rope helical,4.8,10,127,3.5,62,6.9,88,,231,70,7,43,,36.6,,cat p.18-19; Ks_comp=27; 45deg comp/roll: Fmax=177 N dmax=51.3 mm Kv=43 Ks=14; shear/roll: Fmax=52 N dmax=38.1 mm Kv=7 Ks=5.8; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW48-95-10,wire rope helical,4.8,10,127,107,81,6.9,0.29,,156,38,3,24,,52.8,,cat p.18-19; Ks_comp=13; 45deg comp/roll: Fmax=118 N dmax=74.7 mm Kv=24 Ks=7; shear/roll: Fmax=29 N dmax=55.9 mm Kv=3 Ks=2.5; bar 14.3x9.5 mm; 4 holes; hole pitch 114.3; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-20-08,wire rope helical,6.4,8,146.1,56,48,6.9,0.38,,1088,534,154,301,,17.8,,cat p.20-21; Ks_comp=254; 45deg comp/roll: Fmax=778 N dmax=25.9 mm Kv=301 Ks=124; shear/roll: Fmax=592 N dmax=18.8 mm Kv=154 Ks=121; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-40-08,wire rope helical,6.4,8,146.1,64,54,6.9,0.41,,932,372,100,211,,23.9,,cat p.20-21; Ks_comp=162; 45deg comp/roll: Fmax=653 N dmax=34 mm Kv=211 Ks=81; shear/roll: Fmax=498 N dmax=24.9 mm Kv=100 Ks=79; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-50-08,wire rope helical,6.4,8,146.1,71,59,6.9,0.43,,778,274,68,152,,29,,cat p.20-21; Ks_comp=110; 45deg comp/roll: Fmax=546 N dmax=39.6 mm Kv=152 Ks=56; shear/roll: Fmax=435 N dmax=30 mm Kv=68 Ks=54; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-60-08,wire rope helical,6.4,8,146.1,80,64,6.9,0.47,,623,211,52,120,,32,,cat p.20-21; Ks_comp=84; 45deg comp/roll: Fmax=449 N dmax=45.7 mm Kv=120 Ks=42; shear/roll: Fmax=343 N dmax=34 mm Kv=52 Ks=41; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-70-08,wire rope helical,6.4,8,146.1,89,64,6.9,0.52,,540,178,45,100,,32,,cat p.20-21; Ks_comp=71; 45deg comp/roll: Fmax=382 N dmax=45.7 mm Kv=100 Ks=35; shear/roll: Fmax=310 N dmax=34 mm Kv=45 Ks=35; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-80-08,wire rope helical,6.4,8,146.1,95,67,6.9,0.54,,490,152,35,85,,35.6,,cat p.20-21; Ks_comp=59; 45deg comp/roll: Fmax=347 N dmax=50.8 mm Kv=85 Ks=29; shear/roll: Fmax=280 N dmax=38.1 mm Kv=35 Ks=28; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-85-08,wire rope helical,6.4,8,146.1,100,67,6.9,0.57,,455,140,32,78,,35.6,,cat p.20-21; Ks_comp=55; 45deg comp/roll: Fmax=320 N dmax=50.8 mm Kv=78 Ks=26; shear/roll: Fmax=249 N dmax=38.1 mm Kv=32 Ks=25; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW64-90-08,wire rope helical,6.4,8,146.1,108,83,6.9,0.59,,415,103,22,57,,50.8,,cat p.20-21; Ks_comp=35; 45deg comp/roll: Fmax=292 N dmax=71.6 mm Kv=57 Ks=17; shear/roll: Fmax=218 N dmax=52.8 mm Kv=22 Ks=18; bar 15.9x12.7 mm; 4 holes; hole pitch 131.1; thread M6X1.0; max insert torque 4.3 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-26-06,wire rope helical,9.5,6,169.2,84,71,7.4,0.83,,1526,385,137,248,,34,,cat p.22-23; Ks_comp=189; 45deg comp/roll: Fmax=1246 N dmax=47.8 mm Kv=248 Ks=108; shear/roll: Fmax=965 N dmax=36.1 mm Kv=137 Ks=108; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-36-06,wire rope helical,9.5,6,169.2,89,74,7.4,0.85,,1432,336,118,218,,37.1,,cat p.22-23; Ks_comp=160; 45deg comp/roll: Fmax=1152 N dmax=51.8 mm Kv=218 Ks=94; shear/roll: Fmax=903 N dmax=39.1 mm Kv=118 Ks=93; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-46-06,wire rope helical,9.5,6,169.2,105,76,7.4,0.9,,1121,252,81,168,,40.1,,cat p.22-23; Ks_comp=118; 45deg comp/roll: Fmax=934 N dmax=55.9 mm Kv=168 Ks=69; shear/roll: Fmax=685 N dmax=42.2 mm Kv=81 Ks=64; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-56-06,wire rope helical,9.5,6,169.2,108,83,7.4,0.95,,1028,216,69,144,,44.7,,cat p.22-23; Ks_comp=95; 45deg comp/roll: Fmax=872 N dmax=63 mm Kv=144 Ks=56; shear/roll: Fmax=654 N dmax=47.2 mm Kv=69 Ks=54; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-66-06,wire rope helical,9.5,6,169.2,108,89,7.4,0.98,,997,192,62,129,,49.8,,cat p.22-23; Ks_comp=84; 45deg comp/roll: Fmax=841 N dmax=71.1 mm Kv=129 Ks=49; shear/roll: Fmax=623 N dmax=52.8 mm Kv=62 Ks=48; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-76-06,wire rope helical,9.5,6,169.2,121,105,7.4,1.07,,554,91,28,62,,66,,cat p.22-23; Ks_comp=35; 45deg comp/roll: Fmax=477 N dmax=91.9 mm Kv=62 Ks=23; shear/roll: Fmax=280 N dmax=68.1 mm Kv=28 Ks=22; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-86-06,wire rope helical,9.5,6,169.2,140,108,7.4,1.12,,448,71,21,50,,68.1,,cat p.22-23; Ks_comp=27; 45deg comp/roll: Fmax=392 N dmax=95 mm Kv=50 Ks=17; shear/roll: Fmax=218 N dmax=71.1 mm Kv=21 Ks=16; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 from first hole; thread M6X1.0; max insert torque 10 Nm
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-20-08,wire rope helical,9.5,8,215.9,84,71,9,1.1,,2055,512,182,330,,34,,"cat p.24-25; Ks_comp=251; 45deg comp/roll: Fmax=1651 N dmax=47.8 mm Kv=330 Ks=144; shear/roll: Fmax=1277 N dmax=36.1 mm Kv=182 Ks=145; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-30-08,wire rope helical,9.5,8,215.9,89,74,9,1.13,,1900,448,157,291,,37.1,,"cat p.24-25; Ks_comp=213; 45deg comp/roll: Fmax=1526 N dmax=51.8 mm Kv=291 Ks=123; shear/roll: Fmax=1214 N dmax=39.1 mm Kv=157 Ks=123; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-40-08,wire rope helical,9.5,8,215.9,105,76,9,1.2,,1495,339,108,223,,40.1,,"cat p.24-25; Ks_comp=154; 45deg comp/roll: Fmax=1246 N dmax=55.9 mm Kv=223 Ks=91; shear/roll: Fmax=934 N dmax=42.2 mm Kv=108 Ks=85; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-50-08,wire rope helical,9.5,8,215.9,108,83,9,1.26,,1370,287,91,192,,44.7,,"cat p.24-25; Ks_comp=127; 45deg comp/roll: Fmax=1152 N dmax=63 mm Kv=192 Ks=76; shear/roll: Fmax=872 N dmax=47.2 mm Kv=91 Ks=72; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-60-08,wire rope helical,9.5,8,215.9,108,89,9,1.3,,1308,259,84,172,,49.8,,"cat p.24-25; Ks_comp=111; 45deg comp/roll: Fmax=1089 N dmax=71.1 mm Kv=172 Ks=66; shear/roll: Fmax=841 N dmax=52.8 mm Kv=84 Ks=67; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-70-08,wire rope helical,9.5,8,215.9,121,105,9,1.43,,748,120,38,84,,66,,"cat p.24-25; Ks_comp=46; 45deg comp/roll: Fmax=654 N dmax=91.9 mm Kv=84 Ks=30; shear/roll: Fmax=374 N dmax=68.1 mm Kv=38 Ks=30; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
EKD/OVICTOR Vibration Isolator catalogue (2023),OVTW wire rope isolator,OVTW95-80-08,wire rope helical,9.5,8,215.9,140,108,9,1.5,,592,94,27,66,,68.1,,"cat p.24-25; Ks_comp=36; 45deg comp/roll: Fmax=522 N dmax=95 mm Kv=66 Ks=23; shear/roll: Fmax=280 N dmax=71.1 mm Kv=27 Ks=21; bar 25.4x16.3 mm; 8 holes; hole positions 44.5/111.1/155.6 as printed (same as 6-loop drawing, suspect copy); thread M8X1.25; max insert torque 20 Nm"
