awri_model,reference_make,reference_model,delta_load_pct
AWRI-127-90,Socitec,MPN16-315,-0.000594883997620464
AWRI-127-89,Socitec,CB1300-12,0.02644836272040302
AWRI-127-96,Socitec,CB1300-20,-0.00548159749412686
AWRI-127-80,Socitec,CB1400-30,0.021739130434782608
AWRI-159-20,Socitec,CB1600-20,-0.03986710963455149
AWRI-159-30,Socitec,CB1600-25,-0.02349869451697128
AWRI-159-40,Socitec,CB1700-30,-0.016901408450704224
AWRI-159-60,Socitec,CB1600-30,0.029561671763506627
AWRI-159-70,Socitec,CB1600-40,0.028455284552845527
AWRI-159-80,Socitec,CB1500-20,-0.011680143755615454
AWRI-159-90,Socitec,CB1400-17,-0.0007647208768799389
AWRI-222-20,Socitec,CB1900-12,0.007558139534883721
AWRI-222-40,Socitec,CB1800-20,-0.051515151515151514
AWRI-222-60,Socitec,CB1600-15,0.04311073541842773
AWRI-222-80,Socitec,CB1600-20,-0.05349344978165939
AWRI-222-90,Socitec,CB1600-25,-0.015789473684210527
AWRI-222-95,Socitec,CB1400-12,0.0019193857965451055
AWRI-286-20,Socitec,CB2100-15,-0.05211864406779661
AWRI-286-40,Socitec,CB1800-12,0.014778325123152709
AWRI-286-60,Socitec,CB2000-15,-0.00436046511627907
AWRI-318-20,Socitec,CB2000-10,-0.022464486290056162
AWRI-318-40,Socitec,CB2100-15,-0.09249492900608519
