source,family,model,stroke_mm,energy_per_cycle_nm,energy_per_hour_nm,eff_mass_min_kg,eff_mass_max_kg,max_force_n,thread,body_dia_mm,length_mm,weight_kg,damping_type,temp_min_c,temp_max_c,notes
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X12-1,305,33900,5400000,6950,20900,,,,890,40.6,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -1; E4 with air/oil tank 6780000 Nm/h; return force 270-730 N; return time 1.2 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X12-2,305,33900,5400000,17400,52200,,,,890,40.6,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -2; E4 with air/oil tank 6780000 Nm/h; return force 270-730 N; return time 1.2 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X12-3,305,33900,5400000,43500,130450,,,,890,40.6,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 6780000 Nm/h; return force 270-730 N; return time 1.2 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.104,CA2-CA4 heavy duty self-compensating,CA3X12-4,305,33900,5400000,108700,326000,,,,890,40.6,self-compensating,-12,66,heavy duty self-compensating; eff. weight code -4; E4 with air/oil tank 6780000 Nm/h; return force 270-730 N; return time 1.2 s; side load 3 deg; impact velocity 0.3-5 m/s; length = A max; bore size 3 inch
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X6-3,152,47500,3000000,3500,8600,,,,716,60.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 5100000 Nm/h; E4 with oil recirculation 6600000 Nm/h; return force 480-1,000 N; return time 1.8; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X6-5,152,47500,3000000,8600,18600,,,,716,60.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -5; E4 with air/oil tank 5100000 Nm/h; E4 with oil recirculation 6600000 Nm/h; return force 480-1,000 N; return time 1.8; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X6-7,152,47500,3000000,18600,42700,,,,716,60.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -7; E4 with air/oil tank 5100000 Nm/h; E4 with oil recirculation 6600000 Nm/h; return force 480-1,000 N; return time 1.8; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X8-3,203,63300,3400000,5000,11400,,,,818,68.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 5600000 Nm/h; E4 with oil recirculation 7300000 Nm/h; return force 310-1,000 N; return time 2.3; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X8-5,203,63300,3400000,11400,25000,,,,818,68.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -5; E4 with air/oil tank 5600000 Nm/h; E4 with oil recirculation 7300000 Nm/h; return force 310-1,000 N; return time 2.3; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X8-7,203,63300,3400000,25000,57000,,,,818,68.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -7; E4 with air/oil tank 5600000 Nm/h; E4 with oil recirculation 7300000 Nm/h; return force 310-1,000 N; return time 2.3; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X16-3,406,126500,5600000,10000,23000,,,,1300,146.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -3; E4 with air/oil tank 9600000 Nm/h; E4 with oil recirculation 12400000 Nm/h; return force 310-1,000 N; return time on request; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X16-5,406,126500,5600000,23000,50000,,,,1300,146.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -5; E4 with air/oil tank 9600000 Nm/h; E4 with oil recirculation 12400000 Nm/h; return force 310-1,000 N; return time on request; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.105,CA2-CA4 heavy duty self-compensating,CA4X16-7,406,126500,5600000,50000,115000,,,,1300,146.0,self-compensating,-12,66,"heavy duty self-compensating; eff. weight code -7; E4 with air/oil tank 9600000 Nm/h; E4 with oil recirculation 12400000 Nm/h; return force 310-1,000 N; return time on request; impact velocity 0.3-5 m/s; length = A max; bore 4 inch"
ACE Main Catalog 2018 metric p.106-107,A1 1/2-A3 heavy industrial adjustable,A11/2X2,50,2350,362000,195,32000,,,,328.6,7.6,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 452000 Nm/h; return force 160-210 N; return time 0.10 s; side load 5 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.106-107,A1 1/2-A3 heavy industrial adjustable,A11/2X31/2,89,4150,633000,218,36000,,,,405.6,8.9,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 791000 Nm/h; return force 110-210 N; return time 0.25 s; side load 4 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.106-107,A1 1/2-A3 heavy industrial adjustable,A11/2X5,127,5900,904000,227,41000,,,,481.8,9.4,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 1130000 Nm/h; return force 90-230 N; return time 0.40 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.106-107,A1 1/2-A3 heavy industrial adjustable,A11/2X61/2,165,7700,1180000,308,45000,,,,577,12.0,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 1469000 Nm/h; return force 90-430 N; return time 0.40 s; side load 2 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.108,A1 1/2-A3 heavy industrial adjustable,A2X2,50,3600,1100000,250,77000,,,,313,14.3,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 1350000 Nm/h; return force 210-285 N; return time 0.25 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.108,A1 1/2-A3 heavy industrial adjustable,A2X4,102,9000,1350000,250,82000,,,,414,16.7,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 1700000 Nm/h; return force 150-285 N; return time 0.50 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.108,A1 1/2-A3 heavy industrial adjustable,A2X6,152,13500,1600000,260,86000,,,,516,19.3,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 2000000 Nm/h; return force 150-400 N; return time 0.60 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.108,A1 1/2-A3 heavy industrial adjustable,A2X8,203,19200,1900000,260,90000,,,,643,22.3,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 2400000 Nm/h; return force 230-650 N; return time 0.70 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.108,A1 1/2-A3 heavy industrial adjustable,A2X10,254,23700,2200000,320,113000,,,,745,26.2,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 2700000 Nm/h; return force 160-460 N; return time 0.80 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.109,A1 1/2-A3 heavy industrial adjustable,A3X5,127,15800,2260000,480,154000,,,,490.5,32.7,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 2800000 Nm/h; return force 270-710 N; return time 0.6 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.109,A1 1/2-A3 heavy industrial adjustable,A3X8,203,28200,3600000,540,181500,,,,641,38.5,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 4520000 Nm/h; return force 280-740 N; return time 0.8 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.109,A1 1/2-A3 heavy industrial adjustable,A3X12,305,44000,5400000,610,204000,,,,890,48.0,adjustable,-12,66,heavy industrial adjustable; E4 with air/oil tank 6780000 Nm/h; return force 270-730 N; return time 1.2 s; side load 3 deg; impact velocity 0.1-5 m/s; length = A max (L max for A1 1/2)
ACE Main Catalog 2018 metric p.262-263,SCS33-SCS64 safety,SCS33-25,23.2,500,,,,,M33x1.5,33,138,0.51,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 310 Nm, E3 optimised characteristic 500 Nm; return force 45-90 N; side load 3 deg (values reduced 20% at max angle); length = A max, B = 83 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.262-263,SCS33-SCS64 safety,SCS33-50,48.6,950,,,,,M33x1.5,33,189,0.63,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 620 Nm, E3 optimised characteristic 950 Nm; return force 45-135 N; side load 2 deg (values reduced 20% at max angle); length = A max, B = 108 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.264,SCS33-SCS64 safety,SCS45-25,23.1,1200,,,,,M45x1.5,45,145,1.14,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 680 Nm, E3 optimised characteristic 1200 Nm; return force 70-100 N; side load 3 deg (values reduced 20% at max angle); length = A max, B = 95 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.264,SCS33-SCS64 safety,SCS45-50,48.5,2350,,,,,M45x1.5,45,195,1.36,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 1360 Nm, E3 optimised characteristic 2350 Nm; return force 70-145 N; side load 2 deg (values reduced 20% at max angle); length = A max, B = 120 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.264,SCS33-SCS64 safety,SCS45-75,73.9,3500,,,,,M45x1.5,45,246,1.59,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 2040 Nm, E3 optimised characteristic 3500 Nm; return force 50-180 N; side load 1 deg (values reduced 20% at max angle); length = A max, B = 145 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.265,SCS33-SCS64 safety,SCS64-50,48.6,6000,,,,,M64x2,64,225,2.90,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 3400 Nm, E3 optimised characteristic 6000 Nm; return force 90-155 N; side load 3 deg (values reduced 20% at max angle); length = A max, B = 140 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.265,SCS33-SCS64 safety,SCS64-100,99.4,12000,,,,,M64x2,64,326,3.70,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 6800 Nm, E3 optimised characteristic 12000 Nm; return force 105-270 N; side load 2 deg (values reduced 20% at max angle); length = A max, B = 191 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.265,SCS33-SCS64 safety,SCS64-150,150.0,18000,,,,,M64x2,64,450,5.10,optimised characteristic (safety / emergency stop),-12,66,"emergency-stop safety absorber (MAGNUM-based); E3 self-compensating 10200 Nm, E3 optimised characteristic 18000 Nm; return force 75-365 N; side load 1 deg (values reduced 20% at max angle); length = A max, B = 241 mm; impact velocity 0.02-5 m/s; ~1000 full-load stops; damper individually calculated by ACE"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-50,50,3600,,,,80000,,38,270,12.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 5.0 deg, S foot 4.0 deg; A max 270, B 205, D 175, E max 80 mm; weight F/R 12.0 kg, S 13.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-100,100,7200,,,,80000,,38,370,14.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 5.0 deg, S foot 4.0 deg; A max 370, B 255, D 225, E max 132 mm; weight F/R 14.0 kg, S 15.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-150,150,10800,,,,80000,,38,470,16.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 5.0 deg, S foot 4.0 deg; A max 470, B 305, D 275, E max 180 mm; weight F/R 16.0 kg, S 17.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-200,200,14400,,,,80000,,38,570,18.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 5.0 deg, S foot 4.0 deg; A max 570, B 355, D 325, E max 230 mm; weight F/R 18.0 kg, S 19.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-250,250,18000,,,,80000,,38,670,20.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 4.7 deg, S foot 3.7 deg; A max 670, B 405, D 375, E max 280 mm; weight F/R 20.0 kg, S 21.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-300,300,21600,,,,80000,,38,785,22.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 3.9 deg, S foot 2.9 deg; A max 785, B 470, D 440, E max 330 mm; weight F/R 22.0 kg, S 22.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-350,350,25200,,,,80000,,38,885,24.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 3.4 deg, S foot 2.4 deg; A max 885, B 520, D 490, E max 380 mm; weight F/R 24.0 kg, S 25.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-400,400,28800,,,,80000,,38,1000,26.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 3.0 deg, S foot 2.0 deg; A max 1,000, B 585, D 555, E max 430 mm; weight F/R 26.0 kg, S 27.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
ACE Main Catalog 2018 metric p.266-267,SCS38-SCS63 high rack safety,SCS38-500,500,36000,,,,80000,,38,1215,30.0,optimised characteristic (safety / emergency stop),-20,60,"high-rack / stacker crane safety absorber; return force 600-700 N; side load F/R flange 2.4 deg, S foot 1.4 deg; A max 1,215, B 700, D 670, E max 530 mm; weight F/R 30.0 kg, S 31.0 kg; max force per bore size from ACE web catalogue p.72-75 (main cat. family range 80-210 kN); impact velocity 0.5-4.6 m/s; ATF, N2 accumulator approx 2 bar; length = A max"
